"Restaurant Name	",Business Vertical,Tags,Competitor,Opening Hours,City Code,City Name,Address,Country,lat,lng,Google_id,Google_reviews,Google_grade,Google_maps_url,phone,created_at,updated_at
Paul ParkLake,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-19:00,BUC,București,"Strada Liviu Rebreanu 4, BucureÈ™ti, Romania",Romania,44.4200008,26.1484193,ChIJV5j3Y8D-sUARD5aJnFjUuDc,4.3,541,https://maps.google.com/?cid=4015192544849270287,+40 757 353 014,27/07/2020 23:25:43,27/07/2020 23:25:43
Paul Cotroceni,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-19:30,BUC,București,"Bulevardul General Vasile Milea 4, BucureÈ™ti 061344, Romania",Romania,44.4296625,26.0531306,ChIJBTvIQNABskARFllguxAY8MY,4.3,885,https://maps.google.com/?cid=14334984074062485782,+40 21 448 1893,27/07/2020 23:25:45,27/07/2020 23:25:45
Paul Mega Mall,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-21:00,BUC,București,"Bulevardul Pierre de Coubertin 3-5, BucureÈ™ti 021901, Romania",Romania,44.4427778,26.1519444,ChIJw6YFki75sUARk5rlv9C0M0A,4.4,370,https://maps.google.com/?cid=4626240050905324179,+40 743 108 577,27/07/2020 23:25:46,27/07/2020 23:25:46
Paul Promenada,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-21:00,BUC,București,"Calea Floreasca 246B, BucureÈ™ti, Romania",Romania,44.4783233,26.102778,ChIJ_TRwfXoCskARUtkFvYZRONg,4.2,385,https://maps.google.com/?cid=15580292550026975570,+40 756 104 738,27/07/2020 23:25:47,27/07/2020 23:25:47
Paul Romana,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-18:00,BUC,București,"Bulevardul General Gheorghe Magheru 28-30, BucureÈ™ti 010336, Romania",Romania,44.4451611,26.0981137,ChIJSebmCU7_sUAR14g22Xo3dHY,4.1,647,https://maps.google.com/?cid=8535508194543700183,+40 746 146 341,27/07/2020 23:25:50,27/07/2020 23:25:50
McDonald`s Feeria,cafe,"restaurant,food,point_of_interest,establishment",Tazz,10:00-19:30,BUC,București,"Șoseaua Mihai Bravu 307, București 030307, Romania",Romania,44.4196234,26.1370527,ChIJBdq2XOj-sUAR7m-KSfk6tHs,4,6230,https://maps.google.com/?cid=8913814404828131310,+40 21 302 9911,27/07/2020 23:25:53,27/07/2020 23:25:53
McDonald`s Central,cafe,"restaurant,food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Șoseaua Mihai Bravu 307, București 030307, Romania",Romania,44.4196234,26.1370527,ChIJBdq2XOj-sUAR7m-KSfk6tHs,4,6230,https://maps.google.com/?cid=8913814404828131310,+40 21 302 9911,27/07/2020 23:25:55,27/07/2020 23:25:55
Paul Baneasa,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-19:30,BUC,București,"Șoseaua București-Ploiești 42D, București 015011, Romania",Romania,44.508227,26.0898917,ChIJV320heYCskARglA6CYLfzyw,3.4,58,https://maps.google.com/?cid=3229045207441494146,+40 21 361 1798,27/07/2020 23:25:56,27/07/2020 23:25:56
McDonald`s Otopeni,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Șoseaua București-Ploiești Km. 16, Otopeni 075100, Romania",Romania,44.5397612,26.0689356,ChIJzZbjt7McskARJnM9OTwKsQ4,3.9,4842,https://maps.google.com/?cid=1058638641183421222,+40 21 300 7380,27/07/2020 23:25:57,27/07/2020 23:25:57
Stradale,restaurant,"food,point_of_interest,establishment",Tazz,11:00-17:00,BUC,București,"Șoseaua București-Ploiești 1A, București 013681, Romania",Romania,44.4825373,26.0740677,ChIJ7bSvrUUCskARvBgzCuh_ZWA,4.1,393,https://maps.google.com/?cid=6946098634869119164,+40 741 133 399,27/07/2020 23:25:58,27/07/2020 23:25:58
McDonaldÃ¢â‚¬â„¢s Unirea,cafe,"restaurant,food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"McDonald's 78, Unirea Shopping Center 0034, Piața Unirii 1, București 030119, Romania",Romania,44.4285225,26.1042763,ChIJ15JhuRX_sUARDJQwuTtg3Mg,3.9,5514,https://maps.google.com/?cid=14473549112088237068,+40 21 303 9913,27/07/2020 23:26:00,27/07/2020 23:26:00
McDonaldÃ¢â‚¬â„¢s Gara de Nord,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Gara de Nord, Piața Gării de Nord, București 010858, Romania",Romania,44.4467506,26.0741897,ChIJuU-vsfwBskARdJYCTtWIUHM,3.8,1955,https://maps.google.com/?cid=8309291762216769140,+40 21 300 0188,27/07/2020 23:26:02,27/07/2020 23:26:02
McDonald`s Pipera DT,cafe,"restaurant,food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Șoseaua Mihai Bravu 307, București 030307, Romania",Romania,44.4196234,26.1370527,ChIJBdq2XOj-sUAR7m-KSfk6tHs,4,6230,https://maps.google.com/?cid=8913814404828131310,+40 21 302 9911,27/07/2020 23:26:03,27/07/2020 23:26:03
McDonald`s Colentina,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Șoseaua Colentina 81, București 021165, Romania",Romania,44.46632,26.1370773,ChIJo_VKYOz4sUARC96Jnj9_RpQ,3.8,3701,https://maps.google.com/?cid=10684367077202583051,+40 21 204 6072,27/07/2020 23:26:05,27/07/2020 23:26:05
Flori de Lux,florist,"point_of_interest,store,establishment",Tazz,09:00-20:00,BUC,București,"Bulevardul Libertății 22, București 040278, Romania",Romania,44.432313,26.0929186,ChIJZVpzZMUBskARFC395hZl4C4,4.1,367,https://maps.google.com/?cid=3377810869566909716,+40 722 560 914,27/07/2020 23:26:06,27/07/2020 23:26:06
Fibrio,restaurant,"food,point_of_interest,establishment",Tazz,09:00-16:00,BUC,București,"Intrarea Lt. Av. Marcel Andreescu 11, BucureÈ™ti 011645, Romania",Romania,44.4588191,26.0963307,ChIJQX7gOaj4sUARcQJ0CNzQIIQ,4.8,8,https://maps.google.com/?cid=9520839255714431601,+40 727 342 746,27/07/2020 23:26:08,27/07/2020 23:26:08
Divan,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Str. Barbu Văcărescu 241A, București 077190, Romania",Romania,44.4708273,26.1092172,ChIJRQOOZ574sUARdtVCF76Fylo,4.4,1037,https://maps.google.com/?cid=6542188460189603190,+40 31 640 4450,27/07/2020 23:26:09,27/07/2020 23:26:09
Dristor Kebap Delivery - Sudului,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Șoseaua Olteniței 210, București, Romania",Romania,44.3943207,26.1211892,ChIJKxuu3kL-sUAR7wrmGGyzHs8,4.2,757,https://maps.google.com/?cid=14924563492007971567,+40 21 780 7007,27/07/2020 23:26:11,27/07/2020 23:26:11
Fabio pizza-Drumul taberei,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:00,BUC,București,"Bld Timișoara, București 061992, Romania",Romania,44.4249843,26.0124654,ChIJsR-uuVEAskAR-nlVXJhcSPk,3.9,80,https://maps.google.com/?cid=17962708923221113338,+40 372 188 330,27/07/2020 23:26:13,27/07/2020 23:26:13
eSun Parfumerie,point_of_interest,"clothing_store,store,establishment",Tazz,10:00-16:30,BUC,București,"Strada Poieni nr. 14, BucureÈ™ti 042167, Romania",Romania,44.377315,26.1343,ChIJif18IXj_sUARQNlfiRgMkMU,5,6,https://maps.google.com/?cid=14235891721641646400,+40 729 347 564,27/07/2020 23:26:14,27/07/2020 23:26:14
Atelierul de tarte,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Bulevardul Ion Mihalache 20, BucureÈ™ti 011171, Romania",Romania,44.455054,26.081538,ChIJjQ_IEQICskARrayi_0JLnuA,4.6,1404,https://maps.google.com/?cid=16185456861944917165,+40 756 141 688,27/07/2020 23:26:15,27/07/2020 23:26:15
Fabio pizza-Traian,meal_delivery,"restaurant,food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Calea Călărași 116-122, București 030167, Romania",Romania,44.433115,26.119777,ChIJ33_tWWP_sUARJdypyr0RN-I,2.5,10,https://maps.google.com/?cid=16300516883137420325,+40 372 188 330,27/07/2020 23:26:17,27/07/2020 23:26:17
GNC Live Well,health,"point_of_interest,store,establishment",Tazz,10:00-20:00,BUC,București,"Calea Vitan 55-59, București 031282, Romania",Romania,44.4201193,26.126931,ChIJaVMezeb-sUARkKoGUK4ohB4,4.6,41,https://maps.google.com/?cid=2198927247195679376,+40 784 211 210,27/07/2020 23:26:18,27/07/2020 23:26:18
Crama de Vinuri Vrancene,liquor_store,"food,point_of_interest,store,establishment",Tazz,10:00-21:00,BUC,București,"Bloc 13A, Bulevardul Iuliu Maniu 12, BucureÈ™ti 061103, Romania",Romania,44.434538,26.0400596,ChIJ55hAB8gBskARdNzZNQpat2g,4.3,39,https://maps.google.com/?cid=7545598700582198388,+40 728 412 297,27/07/2020 23:26:20,27/07/2020 23:26:20
Black El Zorab,meal_delivery,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Aleea Țibleș 50, București 060233, Romania",Romania,44.4500211,26.0559587,ChIJ7cn7d64DskARaYNV2T8Biq4,5,6,https://maps.google.com/?cid=12576866283126358889,+40 799 085 035,27/07/2020 23:26:21,27/07/2020 23:26:21
Due Food,meal_delivery,"food,point_of_interest,establishment",Tazz,10:00-21:00,BUC,București,"Strada Soveja 96, BucureÈ™ti, Romania",Romania,44.4735947,26.0511367,ChIJg5BmUTICskARu0Pmj6iJmF4,4,80,https://maps.google.com/?cid=6816349393086989243,+40 742 861 442,27/07/2020 23:26:23,27/07/2020 23:26:23
Karta,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Bulevardul Unirii 22, BucureÈ™ti 030167, Romania",Romania,44.4255677,26.1099051,ChIJKX0OGFv_sUARMy3HTdGUWkU,4.4,121,https://maps.google.com/?cid=4997470363194961203,+40 744 391 111,27/07/2020 23:26:28,27/07/2020 23:26:28
Eat Etc Hermes,restaurant,"food,point_of_interest,establishment",Tazz,10:30-16:00,BUC,București,"Bulevardul Dimitrie Pompeiu 6E, BucureÈ™ti 020337, Romania",Romania,44.4809221,26.1136963,ChIJtfpvM38CskARuXmN9GlL-L4,4.1,772,https://maps.google.com/?cid=13760831579877112249,+40 742 668 259,27/07/2020 23:26:30,27/07/2020 23:26:30
Dristor Kebap Delivery - Franceza,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada Franceză 17, București 030167, Romania",Romania,44.4300411,26.100351,ChIJZb7K2T__sUAR2x-k5aUxuS0,4.1,4140,https://maps.google.com/?cid=3294719190990331867,+40 21 315 5540,27/07/2020 23:26:32,27/07/2020 23:26:32
Fabio pizza- Delfinului,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Opanez 12, BucureÈ™ti 023773, Romania",Romania,44.4631262,26.1141908,ChIJEz2JLKP4sUARXk2U6sHvYG0,4.2,90,https://maps.google.com/?cid=7881562964041682270,+40 372 188 330,27/07/2020 23:26:33,27/07/2020 23:26:33
Nicolai,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:00,BUC,București,"Calea Dorobanți 67, București 010556, Romania",Romania,44.4507243,26.0988968,ChIJ517mI634sUARMkfDXZM8zJ8,4.2,283,https://maps.google.com/?cid=11514644950910453554,+40 741 600 006,27/07/2020 23:26:35,27/07/2020 23:26:35
Il Calcio by Mr.Val Pescariu,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Clucerului 7, BucureÈ™ti 011365, Romania",Romania,44.459828,26.077856,ChIJk6d0nxwCskARJ-a-gW6w6Ig,4.4,525,https://maps.google.com/?cid=9865328972424734247,+40 729 574 802,27/07/2020 23:26:37,27/07/2020 23:26:37
Oro Toro AFI Cotroceni,restaurant,"food,point_of_interest,establishment",Tazz,10:30-21:00,BUC,București,"Bulevardul General Vasile Milea 4, BucureÈ™ti 061344, Romania",Romania,44.4310633,26.052434,ChIJV4YuEdABskARLxWkHkwvD3s,2.8,57,https://maps.google.com/?cid=8867358195293885743,+40 759 040 382,27/07/2020 23:26:38,27/07/2020 23:26:38
Japanos Carnivale,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Splaiul Unirii 165, BucureÈ™ti 040042, Romania",Romania,44.4158397,26.115709,ChIJR-aNOwr_sUAR142tLFqYalA,3.5,8,https://maps.google.com/?cid=5794611383629614551,+40 371 468 737,27/07/2020 23:26:41,27/07/2020 23:26:41
Il Calcio by Mr. Val Romancierilor,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Clucerului 7, BucureÈ™ti 011365, Romania",Romania,44.459828,26.077856,ChIJk6d0nxwCskARJ-a-gW6w6Ig,4.4,525,https://maps.google.com/?cid=9865328972424734247,+40 729 574 802,27/07/2020 23:26:42,27/07/2020 23:26:42
Fabio pizza- Covasna,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:00,BUC,București,"Aleea Covasna Nr 32, BucureÈ™ti 077120, Romania",Romania,44.3810484,26.1115776,ChIJ4TYVUMD_sUAR3leVZ1e90Mo,1.9,9,https://maps.google.com/?cid=14614388973914904542,+40 372 188 330,27/07/2020 23:26:47,27/07/2020 23:26:47
My Meal,meal_delivery,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Strada Florilor nr. 7, București 012263, Romania",Romania,44.4693251,26.0535729,ChIJ6SStTi4CskAR_LN2dK78hng,4.2,94,https://maps.google.com/?cid=8684906757639025660,+40 784 321 321,27/07/2020 23:26:49,27/07/2020 23:26:49
EVO Food,restaurant,"food,point_of_interest,establishment",Tazz,08:00-18:00,BUC,București,"Calea Griviței Nr 99, București 010706, Romania",Romania,44.4455123,26.0827516,ChIJSaLCPfr_sUARat5qtUz6khg,4.7,24,https://maps.google.com/?cid=1770752810878164586,+40 723 132 689,27/07/2020 23:26:50,27/07/2020 23:26:50
Sara Green Aviatiei,restaurant,"food,point_of_interest,establishment",Tazz,10:00-20:00,BUC,București,"Strada Nicolae G. Caramfil 85, BucureÈ™ti, Romania",Romania,44.4831097,26.0920333,ChIJ50LPWmYCskARoGBxEXI-uUQ,4.7,52,https://maps.google.com/?cid=4952057924910407840,+40 774 516 645,27/07/2020 23:26:52,27/07/2020 23:26:52
Il Calcio by Mr. Val Herastrau,point_of_interest,establishment,Tazz,11:00-22:00,BUC,București,"Șoseaua Nordului 7-9, București, Romania",Romania,44.4802959,26.0788136,ChIJ__-vw0MCskARN_7TXt3Gmr4,3.7,3,https://maps.google.com/?cid=13734508667700772407,+40 724 706 665,27/07/2020 23:26:53,27/07/2020 23:26:53
Fabio pizza- Opanez,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Opanez 12, BucureÈ™ti 023773, Romania",Romania,44.4631262,26.1141908,ChIJEz2JLKP4sUARXk2U6sHvYG0,4.2,90,https://maps.google.com/?cid=7881562964041682270,+40 372 188 330,27/07/2020 23:26:54,27/07/2020 23:26:54
Fabio pizza-Vladoianu,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Turda 117, BucureÈ™ti, Romania",Romania,44.4581422,26.0670927,ChIJWyhgxvcBskARaGfFUHYz8Eg,4.4,302,https://maps.google.com/?cid=5255757348395640680,+40 372 188 330,27/07/2020 23:26:55,27/07/2020 23:26:55
Fratellini,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Calea Floreasca 240B, BucureÈ™ti 014475, Romania",Romania,44.4722924,26.105586,ChIJJ0mb6HUCskARu1fNKSu4PFc,4.5,574,https://maps.google.com/?cid=6286101675426797499,+40 733 229 229,27/07/2020 23:26:57,27/07/2020 23:26:57
Gargantua Kiseleff,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada Monetăriei 14, București 011216, Romania",Romania,44.4544868,26.082527,ChIJsxwM-AECskAR0DZ1fDG-SaI,4.2,907,https://maps.google.com/?cid=11694087027194934992,+40 726 555 695,27/07/2020 23:26:58,27/07/2020 23:26:58
Divan Express,restaurant,"food,point_of_interest,establishment",Tazz,Deschide maine la 11:00,BUC,București,"Str. Barbu Văcărescu 241A, București 077190, Romania",Romania,44.4708273,26.1092172,ChIJRQOOZ574sUARdtVCF76Fylo,4.4,1037,https://maps.google.com/?cid=6542188460189603190,+40 31 640 4450,27/07/2020 23:27:00,27/07/2020 23:27:00
Kung Fu King Auchan Titan,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:30,BUC,București,"Bulevardul 1 Decembrie 1918 nr. 33A, BucureÈ™ti 032455, Romania",Romania,44.4226633,26.1790953,ChIJ2_FtC7z_sUAR2G7QDL9CAmY,3.3,12,https://maps.google.com/?cid=7350510930143243992,+40 724 121 080,27/07/2020 23:27:01,27/07/2020 23:27:01
The Journey-Pub,restaurant,"cafe,bar,food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada George Enescu nr. 25, BucureÈ™ti 010303, Romania",Romania,44.4433823,26.0971451,ChIJWU-jtU__sUARibpWwZDIggw,4.2,4104,https://maps.google.com/?cid=901503399472052873,+40 752 285 286,27/07/2020 23:27:02,27/07/2020 23:27:02
Antoine,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:00,BUC,București,"Intrarea Panificației 2, București 077042, Romania",Romania,44.4354073,26.0205261,ChIJxeppPR4BskAR_5Bls2E3gbQ,4.3,8,https://maps.google.com/?cid=13006738091583836415,+40 771 749 542,27/07/2020 23:27:04,27/07/2020 23:27:04
Il Calcio by Mr. Val Clucerului,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Clucerului 7, BucureÈ™ti 011365, Romania",Romania,44.459828,26.077856,ChIJk6d0nxwCskARJ-a-gW6w6Ig,4.4,525,https://maps.google.com/?cid=9865328972424734247,+40 729 574 802,27/07/2020 23:27:05,27/07/2020 23:27:05
Kung Fu King Titulescu,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:30,BUC,București,"Șoseaua Nicolae Titulescu 4, București 011141, Romania",Romania,44.452403,26.081267,ChIJAeomMP8BskARYKBBCyX9xRQ,4.1,423,https://maps.google.com/?cid=1496880786715025504,+40 31 101 5000,27/07/2020 23:27:07,27/07/2020 23:27:07
Pizzicato Icoanei,meal_delivery,"food,point_of_interest,store,establishment",Tazz,10:00-22:00,BUC,București,"Strada Icoanei 2, BucureÈ™ti 020456, Romania",Romania,44.4427748,26.1050898,ChIJfeGP10r_sUARuh5k9ARDX_0,2.5,303,https://maps.google.com/?cid=18257385102942412474,+40 21 211 1213,27/07/2020 23:27:08,27/07/2020 23:27:08
Pizzicato Dorobanti,meal_delivery,"food,point_of_interest,store,establishment",Tazz,10:00-22:00,BUC,București,"Strada Icoanei 2, BucureÈ™ti 020456, Romania",Romania,44.4427748,26.1050898,ChIJfeGP10r_sUARuh5k9ARDX_0,2.5,303,https://maps.google.com/?cid=18257385102942412474,+40 21 211 1213,27/07/2020 23:27:10,27/07/2020 23:27:10
Pizzicato Victoriei,meal_delivery,"food,point_of_interest,store,establishment",Tazz,10:00-22:00,BUC,București,"Strada Icoanei 2, BucureÈ™ti 020456, Romania",Romania,44.4427748,26.1050898,ChIJfeGP10r_sUARuh5k9ARDX_0,2.5,303,https://maps.google.com/?cid=18257385102942412474,+40 21 211 1213,27/07/2020 23:27:11,27/07/2020 23:27:11
Dristor Kebap Delivery - Colentina,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Șoseaua Colentina 12, București 021175, Romania",Romania,44.4572528,26.1307394,ChIJPcXnTsH4sUARSG8hFlLPj3Y,4.2,2743,https://maps.google.com/?cid=8543274969610678088,+40 787 273 278,27/07/2020 23:27:13,27/07/2020 23:27:13
TAQUERIA,restaurant,"food,point_of_interest,establishment",Tazz,10:00-00:00,BUC,București,"Strada Apolodor 3, București 050741, Romania",Romania,44.4282536,26.0946612,ChIJ96zwI2v_sUARgBrhUXFDGDI,4.5,1857,https://maps.google.com/?cid=3609709255321524864,+40 31 419 6688,27/07/2020 23:27:14,27/07/2020 23:27:14
Chopstix Ready to Box Unirii,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:00,BUC,București,"Calea Vitan, BucureÈ™ti, Romania",Romania,44.4203136,26.1261518,ChIJVxrZM-H-sUARDnsIm8TX6Yo,2.5,40,https://maps.google.com/?cid=10009768886222224142,+40 728 064 886,27/07/2020 23:27:16,27/07/2020 23:27:16
Eat Etc Conect,restaurant,"food,point_of_interest,establishment",Tazz,10:30-16:00,BUC,București,"Bulevardul Dimitrie Pompeiu 8, BucureÈ™ti 077190, Romania",Romania,44.4814939,26.1216296,ChIJHwLV_ID4sUARm8OlhIoeHlI,4.1,161,https://maps.google.com/?cid=5917200540691186587,+40 731 328 382,27/07/2020 23:27:17,27/07/2020 23:27:17
La Bariera,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Târgu Jiu 42, București, Romania",Romania,44.3988118,26.0518469,ChIJubrbOfL_sUARPJpFS-YVJUI,4.3,20,https://maps.google.com/?cid=4766239859491052092,+40 738 172 224,27/07/2020 23:27:19,27/07/2020 23:27:19
YoYo Burger,restaurant,"food,point_of_interest,establishment",Tazz,10:30-22:00,BUC,București,"Strada Căpitan Alexandru Șerbănescu 3-5, București 014284, Romania",Romania,44.4800751,26.1013647,ChIJ1dIgznMDskAR0hOUTCIbTII,3.9,13,https://maps.google.com/?cid=9388909157288252370,+40 724 396 397,27/07/2020 23:27:20,27/07/2020 23:27:20
